species	taxid	parameter_file	taxidlist
Plasmodium vivax	5855	Plasmodium_vivax.5855.param	['5855', '418103', '5820', '1639119', '5819', '422676', '5794', '33630', '2698737', '2759', '131567', '1']
Dinoponera longipes	609292	Dinoponera_longipes.609292.param	['609292', '369122', '141711', '43085', '36668', '2153479', '7434', '7400', '7399', '33392', '33340', '7496', '85512', '50557', '6960', '197562', '197563', '6656', '88770', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Oryza sativa	4530	Oryza_sativa.4530.param	['4530', '4527', '1648021', '147380', '147367', '359160', '4479', '38820', '4734', '1437197', '4447', '1437183', '3398', '58024', '78536', '58023', '3193', '131221', '35493', '33090', '2759', '131567', '1']
Cryptosporidium parvum	5807	Cryptosporidium_parvum.5807.param	['5807', '5806', '35082', '423054', '75739', '5796', '1280412', '5794', '33630', '2698737', '2759', '131567', '1']
Cryptosporidium ubiquitum	857276	Cryptosporidium_ubiquitum.857276.param	['857276', '5806', '35082', '423054', '75739', '5796', '1280412', '5794', '33630', '2698737', '2759', '131567', '1']
Phytophthora infestans	4787	Phytophthora_infestans.4787.param	['4787', '4783', '4777', '4776', '4762', '33634', '2698737', '2759', '131567', '1']
Apis mellifera	7460	Apis_mellifera.7460.param	['7460', '7459', '83321', '70987', '7458', '34735', '7434', '7400', '7399', '33392', '33340', '7496', '85512', '50557', '6960', '197562', '197563', '6656', '88770', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Arabidopsis thaliana	3702	Arabidopsis_thaliana.3702.param	['3702', '3701', '980083', '3700', '3699', '91836', '71275', '1437201', '91827', '71240', '1437183', '3398', '58024', '78536', '58023', '3193', '131221', '35493', '33090', '2759', '131567', '1']
Solanaceae	4069	Solanaceae.4069.param	['4070', '4069', '91888', '71274', '1437201', '91827', '71240', '1437183', '3398', '58024', '78536', '58023', '3193', '131221', '35493', '33090', '2759', '131567', '1']
Schizosaccharomyces japonicus	4897	Schizosaccharomyces_japonicus.4897.param	['4897', '4895', '4894', '34346', '147554', '451866', '4890', '451864', '4751', '33154', '2759', '131567', '1']
Dictyostelium discoideum	44689	Dictyostelium_discoideum.44689.param	['44689', '5782', '2058185', '2058949', '33083', '142796', '2605435', '554915', '2759', '131567', '1']
Culex pipiens	7175	Culex_pipiens.7175.param	['7175', '518105', '53527', '7174', '53550', '43817', '7157', '41827', '43786', '7148', '7147', '33392', '33340', '7496', '85512', '50557', '6960', '197562', '197563', '6656', '88770', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Loa loa	7209	Loa_loa.7209.param	['7209', '7208', '6296', '6295', '2072716', '6274', '6236', '119089', '6231', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Polybia occidentalis	91432	Polybia_occidentalis.91432.param	['91432', '57065', '76992', '7455', '7438', '34725', '7434', '7400', '7399', '33392', '33340', '7496', '85512', '50557', '6960', '197562', '197563', '6656', '88770', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Schistosoma japonicum	6182	Schistosoma_japonicum.6182.param	['6182', '6181', '31245', '31244', '6180', '6179', '6178', '6157', '1206795', '2697495', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Aceria tosichella	561515	Aceria_tosichella.561515.param	['561515', '109362', '426509', '426503', '70320', '70332', '83139', '6947', '83136', '6946', '6933', '6854', '6843', '6656', '88770', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Musa acuminata	4641	Musa_acuminata.4641.param	['4641', '4640', '4637', '4618', '4734', '1437197', '4447', '1437183', '3398', '58024', '78536', '58023', '3193', '131221', '35493', '33090', '2759', '131567', '1']
Ciona intestinalis	7719	Ciona_intestinalis.7719.param	['7719', '7718', '7717', '7716', '7713', '7712', '7711', '33511', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Tetraodon nigroviridis	99883	Tetraodon_nigroviridis.99883.param	['99883', '47144', '31031', '32517', '31028', '31022', '1489922', '1489872', '123369', '123368', '123367', '123366', '123365', '1489388', '186625', '1489341', '32443', '41665', '186623', '7898', '117571', '117570', '7776', '7742', '89593', '7711', '33511', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Caenorhabditis elegans	6239	Caenorhabditis_elegans.6239.param	['6239', '6237', '55885', '6243', '55879', '2301119', '2301116', '6236', '119089', '6231', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Bombus impatiens	132113	Bombus_impatiens.132113.param	['132113', '144703', '28641', '83311', '70987', '7458', '34735', '7434', '7400', '7399', '33392', '33340', '7496', '85512', '50557', '6960', '197562', '197563', '6656', '88770', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Cucumis melo	3656	Cucumis_melo.3656.param	['3656', '3655', '1003877', '3650', '71239', '91835', '71275', '1437201', '91827', '71240', '1437183', '3398', '58024', '78536', '58023', '3193', '131221', '35493', '33090', '2759', '131567', '1']
Chaetomium globosum	38033	Chaetomium_globosum.38033.param	['38033', '5149', '35718', '5139', '222544', '147550', '715989', '716546', '147538', '716545', '4890', '451864', '4751', '33154', '2759', '131567', '1']
Plectosphaerella cucumerina	40658	Plectosphaerella_cucumerina.40658.param	['40658', '40657', '1033978', '1028384', '222543', '147550', '715989', '716546', '147538', '716545', '4890', '451864', '4751', '33154', '2759', '131567', '1']
Paramecium tetraurelia	5888	Paramecium_tetraurelia.5888.param	['5888', '5884', '340080', '33825', '6020', '431838', '5878', '33630', '2698737', '2759', '131567', '1']
Brachypodium distachyon	15368	Brachypodium_distachyon.15368.param	['15368', '15367', '147385', '2822797', '147368', '359160', '4479', '38820', '4734', '1437197', '4447', '1437183', '3398', '58024', '78536', '58023', '3193', '131221', '35493', '33090', '2759', '131567', '1']
Coccidioides immitis	5501	Coccidioides_immitis.5501.param	['5501', '5500', '33184', '33183', '451871', '147545', '716546', '147538', '716545', '4890', '451864', '4751', '33154', '2759', '131567', '1']
Acyrthosiphon pisum	7029	Acyrthosiphon_pisum.7029.param	['7029', '7028', '33386', '133076', '27482', '33385', '33380', '33373', '7524', '33342', '33340', '7496', '85512', '50557', '6960', '197562', '197563', '6656', '88770', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Chondrus crispus	2769	Chondrus_crispus.2769.param	['2769', '2768', '29217', '28017', '2045261', '2806', '2763', '2759', '131567', '1']
Phaseolus vulgaris	3885	Phaseolus_vulgaris.3885.param	['3885', '3883', '163735', '2233855', '2231382', '2231393', '3814', '3803', '72025', '91835', '71275', '1437201', '91827', '71240', '1437183', '3398', '58024', '78536', '58023', '3193', '131221', '35493', '33090', '2759', '131567', '1']
Oikopleura dioica	34765	Oikopleura_dioica.34765.param	['34765', '34763', '41302', '2507557', '30302', '7712', '7711', '33511', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Neurospora crassa	5141	Neurospora_crassa.5141.param	['5141', '5140', '5148', '5139', '222544', '147550', '715989', '716546', '147538', '716545', '4890', '451864', '4751', '33154', '2759', '131567', '1']
Sclerotinia sclerotiorum	5180	Sclerotinia_sclerotiorum.5180.param	['5180', '5179', '28983', '5178', '147548', '715989', '716546', '147538', '716545', '4890', '451864', '4751', '33154', '2759', '131567', '1']
Rhizoglyphus echinopus	370843	Rhizoglyphus_echinopus.370843.param	['370843', '150114', '474068', '41442', '83155', '6951', '83137', '6946', '6933', '6854', '6843', '6656', '88770', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Fusarium oxysporum	5507	Fusarium_oxysporum.5507.param	['5507', '171631', '5506', '110618', '5125', '222543', '147550', '715989', '716546', '147538', '716545', '4890', '451864', '4751', '33154', '2759', '131567', '1']
Liostenogaster flavolineata	85445	Liostenogaster_flavolineata.85445.param	['85445', '76999', '76996', '7438', '34725', '7434', '7400', '7399', '33392', '33340', '7496', '85512', '50557', '6960', '197562', '197563', '6656', '88770', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Trypanosoma brucei	5691	Trypanosoma_brucei.5691.param	['5691', '39700', '5690', '5654', '2704949', '2704647', '5653', '33682', '2611352', '2759', '131567', '1']
Blastocystis hominis	12968	Blastocystis_hominis.12968.param	['12968', '12967', '2547934', '42740', '2683629', '2683628', '33634', '2698737', '2759', '131567', '1']
Puccinia graminis	5297	Puccinia_graminis.5297.param	['5297', '5296', '5262', '5258', '162484', '29000', '5204', '451864', '4751', '33154', '2759', '131567', '1']
Triticum aestivum	4565	Triticum_aestivum.4565.param	['4565', '4564', '1648030', '147389', '1648038', '147368', '359160', '4479', '38820', '4734', '1437197', '4447', '1437183', '3398', '58024', '78536', '58023', '3193', '131221', '35493', '33090', '2759', '131567', '1']
Apis florea	7463	Apis_florea.7463.param	['7463', '7459', '83321', '70987', '7458', '34735', '7434', '7400', '7399', '33392', '33340', '7496', '85512', '50557', '6960', '197562', '197563', '6656', '88770', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Cinara cedri	506608	Cinara_cedri.506608.param	['506608', '97051', '96541', '27482', '33385', '33380', '33373', '7524', '33342', '33340', '7496', '85512', '50557', '6960', '197562', '197563', '6656', '88770', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Homo sapiens	9606	Homo_sapiens.9606.param	['9606', '9605', '207598', '9604', '314295', '9526', '314293', '376913', '9443', '314146', '1437010', '9347', '32525', '40674', '32524', '32523', '1338369', '8287', '117571', '117570', '7776', '7742', '89593', '7711', '33511', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Histoplasma capsulatum	5037	Histoplasma_capsulatum.5037.param	['5037', '5036', '299071', '33183', '451871', '147545', '716546', '147538', '716545', '4890', '451864', '4751', '33154', '2759', '131567', '1']
Nasonia vitripennis	7425	Nasonia_vitripennis.7425.param	['7425', '7424', '272242', '7423', '7422', '1955251', '7400', '7399', '33392', '33340', '7496', '85512', '50557', '6960', '197562', '197563', '6656', '88770', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Coprinopsis cinerea	5346	Coprinopsis_cinerea.5346.param	['5346', '184431', '184208', '5338', '452333', '155619', '5302', '5204', '451864', '4751', '33154', '2759', '131567', '1']
Perkinsus marinus	31276	Perkinsus_marinus.31276.param	['31276', '28000', '27999', '27998', '27997', '2497438', '33630', '2698737', '2759', '131567', '1']
Batrachochytrium dendrobatidis	109871	Batrachochytrium_dendrobatidis.109871.param	['109871', '100474', '1142503', '451442', '451435', '2683659', '4761', '112252', '4751', '33154', '2759', '131567', '1']
Apis dorsata	7462	Apis_dorsata.7462.param	['7462', '7459', '83321', '70987', '7458', '34735', '7434', '7400', '7399', '33392', '33340', '7496', '85512', '50557', '6960', '197562', '197563', '6656', '88770', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Gyrodactylus bullatarudis	82660	Gyrodactylus_bullatarudis.82660.param	['82660', '37846', '37845', '2486286', '37844', '37945', '6157', '1206795', '2697495', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Metapolybia cingulata	91402	Metapolybia_cingulata.91402.param	['91402', '91388', '76992', '7455', '7438', '34725', '7434', '7400', '7399', '33392', '33340', '7496', '85512', '50557', '6960', '197562', '197563', '6656', '88770', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Drosophila melanogaster	7227	Drosophila_melanogaster.7227.param	['7227', '32351', '32346', '32341', '7215', '46877', '43845', '7214', '43746', '43741', '43738', '480117', '480118', '43733', '7203', '7147', '33392', '33340', '7496', '85512', '50557', '6960', '197562', '197563', '6656', '88770', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Vitis vinifera	29760	Vitis_vinifera.29760.param	['29760', '3603', '2304100', '3602', '403667', '91834', '71275', '1437201', '91827', '71240', '1437183', '3398', '58024', '78536', '58023', '3193', '131221', '35493', '33090', '2759', '131567', '1']
Polistes canadensis	91411	Polistes_canadensis.91411.param	['91411', '7456', '76984', '7455', '7438', '34725', '7434', '7400', '7399', '33392', '33340', '7496', '85512', '50557', '6960', '197562', '197563', '6656', '88770', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Solanum lycopersicum	4081	Solanum_lycopersicum.4081.param	['4081', '49274', '4107', '424574', '424551', '4070', '4069', '91888', '71274', '1437201', '91827', '71240', '1437183', '3398', '58024', '78536', '58023', '3193', '131221', '35493', '33090', '2759', '131567', '1']
Bombus terrestris	30195	Bombus_terrestris.30195.param	['30195', '144708', '28641', '83311', '70987', '7458', '34735', '7434', '7400', '7399', '33392', '33340', '7496', '85512', '50557', '6960', '197562', '197563', '6656', '88770', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Harpegnathos saltator	610380	Harpegnathos_saltator.610380.param	['610380', '604375', '141711', '43085', '36668', '2153479', '7434', '7400', '7399', '33392', '33340', '7496', '85512', '50557', '6960', '197562', '197563', '6656', '88770', '1206794', '33317', '33213', '6072', '33208', '33154', '2759', '131567', '1']
Plasmodium falciparum	5833	Plasmodium_falciparum.5833.param	['5833', '418107', '5820', '1639119', '5819', '422676', '5794', '33630', '2698737', '2759', '131567', '1']
Tetrahymena thermophila	5911	Tetrahymena_thermophila.5911.param	['5911', '5890', '291294', '37093', '31277', '6020', '431838', '5878', '33630', '2698737', '2759', '131567', '1']
Solanum tuberosum	4113	Solanum_tuberosum.4113.param	['4113', '4107', '424574', '424551', '4070', '4069', '91888', '71274', '1437201', '91827', '71240', '1437183', '3398', '58024', '78536', '58023', '3193', '131221', '35493', '33090', '2759', '131567', '1']
